Indegree,Outdegree,NumSCC,betweenness,closeness
275,29,0,90759.90794882187,0.4794976934905177
4,10,0,693.6061008392053,0.36043151608553264
1,1,0,0.0,0.33197303051809796
7,5,0,3019.1991500579306,0.3685247193224345
1,5,0,59.64702128727892,0.3306237851210461
2,4,0,4.554761904761905,0.3257879157234895
2,4,0,61.77184907888422,0.3260149851890573
17,13,0,9098.517401588937,0.3609878448774841
26,15,0,2371.021259637565,0.4090511587232182
0,7,140,0.0,0.35308548782789206
35,12,0,2245.3347529194552,0.40576881370635437
0,4,142,0.0,0.3569929402785728
1,6,0,111.39888624599446,0.32584465343086033
19,5,0,1657.794391736064,0.3653583284514743
13,3,0,3004.66208904997,0.35638095238095235
33,19,0,5459.3243190312105,0.43430826369545034
1,5,0,634.2040499857923,0.33374955404923295
3,5,0,91.5237641696459,0.36976284584980235
5,13,0,925.0188236432147,0.40331968096572535
1,7,0,12.070433449810317,0.36443319049474093
1,27,151,37.869746566272696,0.3611271955221
36,21,0,23614.50710323016,0.3891430948419301
2,8,0,10.942671505131836,0.3833230895308338
7,9,0,1127.1955630918706,0.35685676139614725
3,2,0,129.3760916704412,0.33572582092230396
2,8,0,277.0622602845938,0.367944936086529
8,11,0,2000.7285811985594,0.35631308322224337
5,5,0,3486.1169846465837,0.3559064105002853
3,9,0,368.7495801388526,0.3364502787268477
1,1,0,196.02499442776826,0.29869093231162197
3,3,0,31.07621213864093,0.36043151608553264
8,18,0,112.83570807019382,0.34154801022270903
9,24,0,21133.87285765011,0.3797442662878019
14,10,0,930.5983802512751,0.30879683116025747
15,44,0,31374.677834322465,0.4439962031324158
21,2,0,1350.9661160164417,0.3501778027325473
1,25,151,0.0,0.3174953334464619
9,17,0,1330.2014391744544,0.41284201235657547
3,18,0,1972.4636344445175,0.4114800967670992
1,4,0,5.823477050109419,0.36344211344211347
1,0,171,0.0,0.25796222252860884
1,3,0,4.792185508905451,0.35136150234741786
6,24,0,4061.0941384500356,0.34192251461988304
1,4,174,19.01851663211586,0.33901069034245335
53,27,0,29616.986512033218,0.40994741454864153
2,16,0,2665.4663711633675,0.377293809235733
5,5,0,45.79188173595567,0.36657523510971785
2,8,0,144.94439395092672,0.3766861284477552
0,0,179,0.0,0.0
0,1,180,0.0,1.0
3,3,0,598.2330665887305,0.32957548000704595
1,2,0,0.0,0.26248597081930414
2,1,0,37.31430991188617,0.2668663528740551
82,24,0,12365.27226167694,0.44760765550239234
1,5,0,174.15802719650347,0.3414233576642336
7,18,0,1636.7477325819361,0.3886580805982551
2,5,0,667.8065954037696,0.33913358709443536
1,1,0,0.0,0.251986531986532
10,7,0,5551.926443636991,0.3593239869406568
1,5,0,2.999139079716917,0.3228088336783989
2,0,191,0.0,0.2973144764023518
1,17,0,185.25083190672356,0.41476391044114386
0,6,193,0.0,0.34513927319682713
154,29,0,56464.80324420209,0.458915869511896
0,5,195,0.0,0.34985041136873596
11,11,0,780.4942083305322,0.377827140549273
8,8,0,2225.2847492057826,0.3467383246849518
0,5,198,0.0,0.3372994411393546
1,4,0,1862.9916369227922,0.3336900303192438
1,5,200,1.8355388961321166,0.3798213560698335
5,8,0,22.325974773036947,0.31162558294470355
4,24,0,318.3288566041286,0.43260115606936417
12,4,0,483.3019333311222,0.366790825328367
1,2,0,0.0,0.3363293187129247
1,4,0,26.709761650575665,0.35529813900493734
1,2,206,0.0,0.33191413872627284
223,45,0,113547.74906627601,0.49236842105263157
0,2,208,0.0,0.34368111682586333
13,21,0,20235.093263476938,0.41476391044114386
0,4,210,0.0,0.36443319049474093
4,2,0,17.563582964218668,0.3391950688905004
9,7,0,57.605500464243946,0.34660985550203777
178,49,0,68338.12436790242,0.4684526790185278
1,6,0,7.0911916279822265,0.3671507064364207
0,5,215,0.0,0.3722642260246717
4,5,0,2360.7361104164343,0.33572582092230396
0,1,217,0.0,0.2388917262512768
1,15,0,1834.1685972101131,0.3913407236979711
8,15,0,3825.2562316954945,0.37721774193548385
0,5,220,0.0,0.38144750254841997
3,2,0,118.96180281511307,0.32612863866132125
16,27,0,6474.066881113071,0.4076252723311547
50,6,0,5877.870107457898,0.4048907162951742
0,1,224,0.0,0.2482090740249403
1,7,0,21.041850559942503,0.3507029053420806
2,2,0,48.52578355078862,0.32945941186828664
1,4,0,17.538913197225426,0.3678725914274479
0,5,228,0.0,0.35583872194750854
4,5,0,1518.4297377041553,0.313242926502595
3,4,0,3304.694446135084,0.3047727642938589
5,2,0,104.07440544657666,0.32624237140366175
38,16,0,4601.692966196288,0.4051537462104807
2,10,0,72.73021982792302,0.39011676396997497
7,8,0,368.2986097964473,0.39970091860713525
